target word, context entropy, partial-context entropy, no-context entropy, , top cosine, basic cosine, bottom cosine, , top overlap, basic overlap, bottom overlap
extruded,0.6147664617063746,0.736830067920442,0.7925910120848882, ,0.8851409923120647,0.6073937153988942,0.6073937153988942, ,0.5098039215686274,0.3137254901960784,0.3137254901960784
sought,0.41584767764377695,0.3719360581093121,0.7163008633848077, ,0.7775258426264727,0.7177088752671239,0.7177088752671239, ,0.5098039215686274,0.39215686274509803,0.39215686274509803
issued,0.29909777482314265,0.3768631155164058,0.534303857403898, ,0.998530760764542,0.984952581929041,0.984952581929041, ,0.6862745098039216,0.35294117647058826,0.35294117647058826
diagram,0.30820604074723656,0.38374024316774713,0.6231034003966934, ,0.7932502490996874,0.5755656039228831,0.5755656039228831, ,0.5686274509803921,0.37254901960784315,0.37254901960784315
inhabitants,0.2926142023215913,0.4690770464547164,0.621202775565946, ,0.966086045352217,0.6473412099652889,0.6473412099652889, ,0.7058823529411765,0.49019607843137253,0.49019607843137253
disciplines,0.7634422803929455,0.7319253434245848,0.6416655135119596, ,0.6702662905236353,0.8652080129427704,0.8652080129427704, ,0.45098039215686275,0.2549019607843137,0.2549019607843137
occasionally,0.12423923989211454,0.16606881345223143,0.3888398281611321, ,0.999999466396165,0.9992344438638168,0.9992344438638168, ,0.8627450980392157,0.6862745098039216,0.6862745098039216
principles,0.5256031002999796,0.5582983207093524,0.6136699932001444, ,0.9377216050143231,0.8934492960651794,0.8934492960651794, ,0.7058823529411765,0.6470588235294118,0.6470588235294118
object,0.20752051867365434,0.36604528792274627,0.4932203762717449, ,0.9856276455423693,0.9794162813412136,0.9794162813412136, ,0.7058823529411765,0.49019607843137253,0.49019607843137253
garment,0.5272165045984757,0.45812690738070827,0.484041348820091, ,0.8898503903432979,0.7961502477221246,0.7961502477221246, ,0.6078431372549019,0.5098039215686274,0.5098039215686274
traversed,0.2948538782577436,0.4280135457339862,0.46722816046739435, ,0.9845526518937173,0.990295213837356,0.990295213837356, ,0.7450980392156863,0.7058823529411765,0.7058823529411765
designation,0.5266074451685326,0.7058971183211398,0.660815748694364, ,0.9775993003664588,0.9909087948762275,0.9909087948762275, ,0.49019607843137253,0.5882352941176471,0.5882352941176471
convince,0.4796284320511422,0.5214879725586522,0.4978003289977026, ,0.9506541513652698,0.9732332096872516,0.9732332096872516, ,0.6862745098039216,0.39215686274509803,0.39215686274509803
subsequently,0.5241875366604835,0.45139344548515997,0.6314106349598658, ,0.9054308143836657,0.6614449163341843,0.6614449163341843, ,0.7058823529411765,0.39215686274509803,0.39215686274509803
appointed,0.496790563287714,0.49949681376066285,0.563427517034956, ,0.807503823261125,0.4228366427782426,0.4228366427782426, ,0.6078431372549019,0.37254901960784315,0.37254901960784315
abolished,0.5708627905334389,0.6480456694848058,0.6446944814499519, ,0.9395666846367458,0.8165099434763512,0.8165099434763512, ,0.5882352941176471,0.45098039215686275,0.45098039215686275
noted,0.32570998729564604,0.5312632316733604,0.6436180453623405, ,0.8885262027064651,0.37580297273210106,0.37580297273210106, ,0.5294117647058824,0.23529411764705882,0.23529411764705882
prestigious,0.5952416020392934,0.6749904543052088,0.6444894570516522, ,0.7908313443389918,0.7550526338230978,0.7550526338230978, ,0.5490196078431373,0.47058823529411764,0.47058823529411764
inaugural,0.407688269350245,0.5463629862819699,0.6812522010570065, ,0.9783183047939301,0.8227887591514543,0.8227887591514543, ,0.6862745098039216,0.5098039215686274,0.5098039215686274
manufactures,0.2703944726915793,0.2638829426493537,0.42654379089363087, ,0.9995729582627298,0.9972041308391021,0.9972041308391021, ,0.8823529411764706,0.7843137254901961,0.7843137254901961
dismissed,0.37368794759561785,0.3906839302173764,0.4856819692765054, ,0.9583320292464874,0.9354357000165496,0.9354357000165496, ,0.6470588235294118,0.6666666666666666,0.6666666666666666
emerged,0.3964193004931336,0.6236051356273273,0.5336528184580471, ,0.9520075680985042,0.1827020183569549,0.1827020183569549, ,0.6078431372549019,0.17647058823529413,0.17647058823529413
rotund,0.32251680450091824,0.4863722586540586,0.5510053585184584, ,0.9787255094799102,0.7941708866751801,0.7941708866751801, ,0.6666666666666666,0.37254901960784315,0.37254901960784315
apportion,0.5013829391859622,0.6594061552716812,0.7322127677448383, ,0.8578291514518311,0.722695756613048,0.722695756613048, ,0.5490196078431373,0.4117647058823529,0.4117647058823529
safeguard,0.12423923989211452,0.24827749183277853,0.2521748290906881, ,0.9999941625969697,0.999991631249631,0.999991631249631, ,0.7843137254901961,0.7647058823529411,0.7647058823529411
suspended,0.29793639883715345,0.39236091562570363,0.509384037117345, ,0.9818290439717985,0.9560329413866611,0.9560329413866611, ,0.6862745098039216,0.5686274509803921,0.5686274509803921
commandeer,0.4521086864184974,0.4862862720121216,0.5829677250471984, ,0.9493214257950124,0.9103493005745673,0.9103493005745673, ,0.6666666666666666,0.47058823529411764,0.47058823529411764
replicate,0.5041391859971512,0.3387512744611759,0.39185874319142705, ,0.8712569056427634,0.788562868548476,0.788562868548476, ,0.5686274509803921,0.45098039215686275,0.45098039215686275
