Cosine, invaded, Infinity
Overlap, invaded, 0.1
jaccard, invaded, 0.09090909090909091
Kullback-Liebler, invaded, 0.13862943611198905
Cosine, invaded, Infinity
Overlap, invaded, 0.1
jaccard, invaded, 0.09090909090909091
Kullback-Liebler, invaded, 0.13862943611198905
Cosine, invaded, Infinity
Overlap, invaded, 0.1
jaccard, invaded, 0.09090909090909091
Kullback-Liebler, invaded, 0.13862943611198905
Cosine, invaded, Infinity
Overlap, invaded, 0.1
jaccard, invaded, 0.09090909090909091
Kullback-Liebler, invaded, 0.13862943611198905
Cosine, invaded, Infinity
Overlap, invaded, 0.1
jaccard, invaded, 0.09090909090909091
Kullback-Liebler, invaded, 0.13862943611198905
Cosine, invaded, Infinity
Overlap, invaded, 0.1
jaccard, antagonist, 0.1
Kullback-Liebler, antagonist, 0.11507282898071242
Cosine, antagonist, Infinity
Overlap, antagonist, 0.3
jaccard, antagonist, 0.1
Kullback-Liebler, antagonist, 0.11507282898071242
Cosine, antagonist, Infinity
Overlap, antagonist, 0.3
jaccard, antagonist, 0.1
Kullback-Liebler, antagonist, 0.11507282898071242
Cosine, antagonist, Infinity
Overlap, antagonist, 0.3
jaccard, antagonist, 0.1
Kullback-Liebler, antagonist, 0.11507282898071242
Cosine, antagonist, Infinity
Overlap, antagonist, 0.3
jaccard, antagonist, 0.1
Kullback-Liebler, antagonist, 0.11507282898071242
Cosine, antagonist, Infinity
Overlap, antagonist, 0.3
jaccard, combat, 0.0
Kullback-Liebler, combat, 0.0
Cosine, combat, NaN
Overlap, combat, 0.0
jaccard, combat, 0.3333333333333333
Kullback-Liebler, combat, 0.0
Cosine, combat, Infinity
Overlap, combat, 0.9
jaccard, predominantly, 0.0
Kullback-Liebler, predominantly, 0.0
Cosine, predominantly, NaN
Overlap, predominantly, 0.0
jaccard, predominantly, 0.0
Kullback-Liebler, predominantly, 0.0
Cosine, predominantly, NaN
Overlap, predominantly, 0.0
jaccard, predominantly, 0.0
Kullback-Liebler, predominantly, 0.0
Cosine, predominantly, NaN
Overlap, predominantly, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, retired, 0.0
Kullback-Liebler, retired, 0.0
Cosine, retired, NaN
Overlap, retired, 0.0
jaccard, founded, 0.14285714285714285
Kullback-Liebler, founded, 0.25541281188299536
Cosine, founded, Infinity
Overlap, founded, 0.3
jaccard, founded, 0.14285714285714285
Kullback-Liebler, founded, 0.25541281188299536
Cosine, founded, Infinity
Overlap, founded, 0.3
jaccard, founded, 0.14285714285714285
Kullback-Liebler, founded, 0.25541281188299536
Cosine, founded, Infinity
Overlap, founded, 0.3
jaccard, longevity, 0.0
Kullback-Liebler, longevity, 0.0
Cosine, longevity, NaN
Overlap, longevity, 0.0
jaccard, longevity, 0.08333333333333333
Kullback-Liebler, longevity, 0.0
Cosine, longevity, Infinity
